Tornado_ID,Year,Date,Time,Timezone,State,Magnitude,Injuries,Fatalities,Start_Lat,Start_Long,End_Lat,End_Long,Length,Width
1,1990,1/14/1990,5:30:00,3,CA,0,0,0,32.75,-117.1,0.0,0.0,0.1,10
2,1990,1/16/1990,23:20:00,3,CA,0,0,0,33.95,-118.05,0.0,0.0,0.2,33
3,1990,1/19/1990,11:30:00,3,TX,2,1,0,32.92,-96.63,0.0,0.0,0.8,50
4,1990,1/19/1990,15:40:00,3,TX,3,2,0,31.22,-94.95,31.35,-94.83,13.0,100
5,1990,1/19/1990,18:10:00,3,TX,0,0,0,31.15,-94.1,0.0,0.0,0.2,10
6,1990,1/24/1990,10:00:00,3,LA,0,0,0,30.42,-92.32,0.0,0.0,0.2,27
7,1990,1/25/1990,5:50:00,3,AL,1,28,0,31.78,-86.35,31.88,-86.2,8.0,73
8,1990,1/25/1990,11:15:00,3,GA,0,0,0,31.67,-84.17,0.0,0.0,0.5,33
9,1990,1/29/1990,14:43:00,3,GA,2,6,0,33.33,-82.18,0.0,0.0,0.9,100
10,1990,1/29/1990,18:50:00,3,NC,0,0,0,36.52,-77.75,0.0,0.0,0.7,100
11,1990,1/30/1990,18:20:00,3,NV,0,0,0,36.17,-114.7,0.0,0.0,0.2,10
12,1990,2/1/1990,17:23:00,3,TX,1,0,0,31.55,-97.15,0.0,0.0,0.2,10
13,1990,2/2/1990,17:40:00,3,LA,1,1,0,32.1,-92.95,32.12,-92.85,7.2,40
14,1990,2/2/1990,20:10:00,3,LA,1,0,0,32.87,-91.92,0.0,0.0,1.0,30
15,1990,2/2/1990,23:40:00,3,AR,0,0,0,34.42,-92.25,0.0,0.0,0.5,50
16,1990,2/3/1990,18:35:00,3,AL,0,0,0,33.25,-87.87,0.0,0.0,0.5,20
17,1990,2/3/1990,18:45:00,3,AL,0,0,0,33.25,-87.8,0.0,0.0,0.3,20
18,1990,2/3/1990,18:50:00,3,AL,1,3,0,33.3,-87.62,33.32,-87.5,6.0,40
